ID_QUEJA,FECHA_REGISTRO,DEPARTAMENTO,REPORTANTE_TIPO,TIPO_QUEJA,CANAL_RECEPCION,MUNICIPIO,CODIGO_PUESTO,CLASE_QUEJA,DESCRIPCION,ESTADO_QUEJA,RECEPTOR,LATITUD_QUEJA,LONGITUD_QUEJA,FOTO_URL,OBSERVACIONES,MESA,DIRECCION,TELEFONO,EMAIL
14,2025-10-22,BOGOTA D.C.,CIUDADANO,QUEMA,SEDE ELECTRÓNICA,BOGOTA,115733168,TRANSPORTE IRREGULAR,Se impide el acceso a testigos acreditados. Reporte de intento de quema de material electoral.,REGISTRADA,MESA AYUDA,4.523047,-74.285674,https://example.com/fotos/14.jpg,Coordinación con Policía Metropolitana.,20,"Cll 115 #130-55, BOGOTA",3870831727,jorge.cruz29@mail.com
15,2025-10-18,CALDAS,DEFENSORIA,QUEMA,PORTAL,MANIZALES,177562022,VIOLENCIA,Larga fila y demoras inusuales en la mesa. Reporte de intento de quema de material electoral.,CERRADA,OPERADOR 2,5.05351,-75.524084,https://example.com/fotos/15.jpg,Remitido a Personería.,27,"Tv 50 #198-75, MANIZALES",3236231665,sofia.suarez11@mail.com
16,2025-10-01,VALLE DEL CAUCA,CIUDADANO,QUEMA,PORTAL,CALI,768947562,DAÑO DE MATERIAL,Larga fila y demoras inusuales en la mesa. Reporte de intento de quema de material electoral.,REGISTRADA,OPERADOR 2,3.488481,-76.492817,https://example.com/fotos/16.jpg,,21,"Tv 18 #119-24, CALI",3065627298,felipe.ramirez56@gmail.com
17,2025-10-15,VALLE DEL CAUCA,DEFENSORIA,QUEMA,APP,CALI,762005936,COMPRA DE VOTOS,Se impide el acceso a testigos acreditados. Reporte de intento de quema de material electoral.,REGISTRADA,OPERADOR 2,3.357234,-76.554171,https://example.com/fotos/17.jpg,Remitido a Personería.,20,"Diag 96 #184-15, CALI",3092327193,carlos.garcia32@mail.com
18,2025-10-04,BOGOTA D.C.,PERSONERIA,FRAUDE,APP,BOGOTA,110661786,COMPRA DE VOTOS,Entrega de publicidad a menos de 100 metros del puesto. Posible manipulación de conteo o daño de votos.,CERRADA,OPERADOR 1,4.817299,-74.266489,https://example.com/fotos/18.jpg,Remitido a Personería.,14,"Cl 94 #134-84, BOGOTA",3865185067,jorge.restrepo6@ejemplo.co
19,2025-10-01,ANTIOQUIA,PERSONERIA,QUEMA,PORTAL,MEDELLIN,058082463,LOGÍSTICA,Se observa intercambio de dinero y propaganda dentro del perímetro no permitido. Reporte de intento de quema de material electoral.,REGISTRADA,OPERADOR 1,6.287023,-75.513665,https://example.com/fotos/19.jpg,Remitido a Personería.,24,"Tv 63 #143-98, MEDELLIN",3735454948,ana.castro42@mail.com
20,2025-10-31,BOGOTA D.C.,CIUDADANO,QUEMA,PORTAL,BOGOTA,116354547,PROPAGANDA,Ingresan votos ya marcados en sobres irregulares. Reporte de intento de quema de material electoral.,REGISTRADA,OPERADOR 2,4.718619,-74.09977,https://example.com/fotos/20.jpg,Remitido a Personería.,24,"Tv 36 #186-76, BOGOTA",3444313518,sofia.rivera90@gmail.com
21,2025-10-27,CALDAS,PROCURADURIA,FRAUDE,APP,MANIZALES,177100296,DAÑO DE MATERIAL,Entrega de publicidad a menos de 100 metros del puesto. Posible manipulación de conteo o daño de votos.,REGISTRADA,OPERADOR 1,5.071615,-75.441949,https://example.com/fotos/21.jpg,,19,"Cll 88 #14-20, MANIZALES",3777520471,sebastian.lopez2@ejemplo.co
22,2025-10-18,BOGOTA D.C.,CIUDADANO,FRAUDE,TELÉFONO,BOGOTA,115673925,INTERVENCIÓN EN POLÍTICA,Larga fila y demoras inusuales en la mesa. Posible manipulación de conteo o daño de votos.,EN TRÁMITE,MESA AYUDA,4.762011,-74.005771,https://example.com/fotos/22.jpg,Coordinación con Policía Metropolitana.,15,"Cll 77 #121-38, BOGOTA",3913341232,miguel.torres73@correo.com
23,2025-10-31,VALLE DEL CAUCA,CIUDADANO,PROCEDIMIENTO,PORTAL,CALI,765811212,VIOLENCIA,Vehículos transportando votantes con logos partidarios. Incumplimiento del procedimiento establecido por jurados.,CERRADA,MESA AYUDA,3.350925,-76.501026,https://example.com/fotos/23.jpg,Coordinación con Policía Metropolitana.,15,"Cra 77 #11-56, CALI",3499471746,luisa.rodriguez8@mail.com
24,2025-10-27,ANTIOQUIA,CIUDADANO,FRAUDE,REDES,MEDELLIN,054691564,LOGÍSTICA,Entrega de publicidad a menos de 100 metros del puesto. Posible manipulación de conteo o daño de votos.,EN TRÁMITE,OPERADOR 1,6.284706,-75.665603,https://example.com/fotos/24.jpg,,11,"Av 42 #30-99, MEDELLIN",3551256746,maria.castro45@gmail.com
25,2025-10-08,BOLÍVAR,PERSONERIA,FRAUDE,REDES,CARTAGENA,133767259,COMPRA DE VOTOS,Se observa intercambio de dinero y propaganda dentro del perímetro no permitido. Posible manipulación de conteo o daño de votos.,REGISTRADA,MESA AYUDA,10.478386,-75.451009,https://example.com/fotos/25.jpg,Remitido a Personería.,16,"Cll 38 #131-91, CARTAGENA",3932480861,valentina.castro16@correo.com
26,2025-10-11,ANTIOQUIA,PERSONERIA,QUEMA,TELÉFONO,MEDELLIN,059588274,INTERVENCIÓN EN POLÍTICA,Vehículos transportando votantes con logos partidarios. Reporte de intento de quema de material electoral.,REGISTRADA,OPERADOR 1,6.248943,-75.587975,https://example.com/fotos/26.jpg,Coordinación con Policía Metropolitana.,15,"Av 112 #49-90, MEDELLIN",3499727875,laura.ramirez1@ejemplo.co
27,2025-10-26,BOGOTA D.C.,DEFENSORIA,QUEMA,WHATSAPP,BOGOTA,113689405,TRANSPORTE IRREGULAR,Conato de riña entre simpatizantes en las inmediaciones del puesto. Reporte de intento de quema de material electoral.,EN TRÁMITE,OPERADOR 2,4.675847,-74.227596,https://example.com/fotos/27.jpg,,28,"Av 110 #173-69, BOGOTA",3187026217,pablo.flores13@gmail.com
28,2025-10-08,BOLÍVAR,CIUDADANO,QUEMA,SEDE ELECTRÓNICA,CARTAGENA,139974068,PROPAGANDA,Presunta suplantación de identidad en la mesa de votación. Reporte de intento de quema de material electoral.,REGISTRADA,MESA AYUDA,10.492662,-75.474784,https://example.com/fotos/28.jpg,Remitido a Personería.,6,"Cra 79 #98-80, CARTAGENA",3005045562,valentina.hernandez89@ejemplo.co
29,2025-10-12,BOGOTA D.C.,DEFENSORIA,FRAUDE,PORTAL,BOGOTA,118425099,TRANSPORTE IRREGULAR,Se reporta material electoral deteriorado o con tachaduras. Posible manipulación de conteo o daño de votos.,REGISTRADA,OPERADOR 1,4.64916,-74.119221,https://example.com/fotos/29.jpg,,27,"Cll 51 #71-2, BOGOTA",3743671369,juan.cruz89@ejemplo.co
30,2025-10-24,CALDAS,PERSONERIA,FRAUDE,SEDE ELECTRÓNICA,MANIZALES,176366676,LOGÍSTICA,Ingresan votos ya marcados en sobres irregulares. Posible manipulación de conteo o daño de votos.,EN TRÁMITE,OPERADOR 1,5.103808,-75.462169,https://example.com/fotos/30.jpg,Remitido a Personería.,26,"Diag 113 #94-68, MANIZALES",3470952145,luisa.lopez81@correo.com
31,2025-10-27,CALDAS,DEFENSORIA,QUEMA,PORTAL,MANIZALES,179198799,DAÑO DE MATERIAL,Se observa intercambio de dinero y propaganda dentro del perímetro no permitido. Reporte de intento de quema de material electoral.,CERRADA,OPERADOR 2,5.109618,-75.456953,https://example.com/fotos/31.jpg,Remitido a Personería.,16,"Cra 80 #144-42, MANIZALES",3048175496,natalia.rivera12@gmail.com
32,2025-10-15,CALDAS,DEFENSORIA,QUEMA,REDES,MANIZALES,179340814,COMPRA DE VOTOS,Se impide el acceso a testigos acreditados. Reporte de intento de quema de material electoral.,REGISTRADA,OPERADOR 1,5.026564,-75.533678,https://example.com/fotos/32.jpg,,22,"Av 70 #166-46, MANIZALES",3617964053,natalia.cruz76@mail.com
33,2025-10-09,VALLE DEL CAUCA,CIUDADANO,FRAUDE,PORTAL,CALI,769039728,VIOLENCIA,Larga fila y demoras inusuales en la mesa. Posible manipulación de conteo o daño de votos.,EN TRÁMITE,MESA AYUDA,3.387591,-76.573427,https://example.com/fotos/33.jpg,Remitido a Personería.,1,"Av 102 #61-76, CALI",3352904228,natalia.perez76@mail.com
34,2025-10-11,ANTIOQUIA,PERSONERIA,FRAUDE,REDES,MEDELLIN,054751590,INTERVENCIÓN EN POLÍTICA,Se observa intercambio de dinero y propaganda dentro del perímetro no permitido. Posible manipulación de conteo o daño de votos.,REGISTRADA,OPERADOR 1,6.172998,-75.624888,https://example.com/fotos/34.jpg,Remitido a Personería.,9,"Diag 82 #150-71, MEDELLIN",3076617711,laura.torres59@correo.com
35,2025-10-03,ANTIOQUIA,PERSONERIA,QUEMA,PORTAL,MEDELLIN,058677242,PROPAGANDA,Conato de riña entre simpatizantes en las inmediaciones del puesto. Reporte de intento de quema de material electoral.,EN TRÁMITE,OPERADOR 1,6.242372,-75.568443,https://example.com/fotos/35.jpg,,24,"Cll 48 #34-72, MEDELLIN",3156545271,sofia.rios52@gmail.com
36,2025-10-26,VALLE DEL CAUCA,CIUDADANO,QUEMA,REDES,CALI,769490231,COMPRA DE VOTOS,Vehículos transportando votantes con logos partidarios. Reporte de intento de quema de material electoral.,REGISTRADA,MESA AYUDA,3.429022,-76.521378,https://example.com/fotos/36.jpg,,20,"Cll 107 #178-35, CALI",3315851493,laura.perez20@gmail.com
37,2025-10-25,VALLE DEL CAUCA,DEFENSORIA,QUEMA,APP,CALI,765416072,IRREGULARIDAD EN MESA,Se observa intercambio de dinero y propaganda dentro del perímetro no permitido. Reporte de intento de quema de material electoral.,REGISTRADA,OPERADOR 1,3.339692,-76.501622,https://example.com/fotos/37.jpg,Se solicita evidencia adicional.,15,"Cll 55 #125-78, CALI",3545991022,miguel.rios44@mail.com
38,2025-10-13,BOLÍVAR,DEFENSORIA,PROCEDIMIENTO,WHATSAPP,CARTAGENA,136460350,COMPRA DE VOTOS,Ingresan votos ya marcados en sobres irregulares. Incumplimiento del procedimiento establecido por jurados.,REGISTRADA,MESA AYUDA,10.406269,-75.524132,https://example.com/fotos/38.jpg,Se solicita evidencia adicional.,3,"Tv 111 #190-6, CARTAGENA",3445107622,juan.perez99@mail.com
39,2025-10-08,BOLÍVAR,PERSONERIA,QUEMA,SEDE ELECTRÓNICA,CARTAGENA,132491946,COMPRA DE VOTOS,Presunta suplantación de identidad en la mesa de votación. Reporte de intento de quema de material electoral.,EN TRÁMITE,OPERADOR 2,10.342999,-75.439461,https://example.com/fotos/39.jpg,,17,"Cll 15 #136-66, CARTAGENA",3369681645,daniel.rodriguez56@correo.com
40,2025-10-02,BOGOTA D.C.,PROCURADURIA,PROCEDIMIENTO,REDES,BOGOTA,111676174,VIOLENCIA,Se observa intercambio de dinero y propaganda dentro del perímetro no permitido. Incumplimiento del procedimiento establecido por jurados.,REGISTRADA,OPERADOR 2,4.796132,-74.191694,https://example.com/fotos/40.jpg,Se solicita evidencia adicional.,15,"Tv 5 #15-48, BOGOTA",3527177449,pablo.restrepo58@ejemplo.co
41,2025-10-20,ANTIOQUIA,PERSONERIA,FRAUDE,SEDE ELECTRÓNICA,MEDELLIN,058486341,TRANSPORTE IRREGULAR,Se impide el acceso a testigos acreditados. Posible manipulación de conteo o daño de votos.,EN TRÁMITE,MESA AYUDA,6.184579,-75.523077,https://example.com/fotos/41.jpg,Se solicita evidencia adicional.,13,"Tv 100 #87-87, MEDELLIN",3182037788,carlos.rios14@ejemplo.co
42,2025-10-03,CALDAS,DEFENSORIA,QUEMA,WHATSAPP,MANIZALES,172769835,PROPAGANDA,Conato de riña entre simpatizantes en las inmediaciones del puesto. Reporte de intento de quema de material electoral.,EN TRÁMITE,OPERADOR 2,5.006284,-75.476911,https://example.com/fotos/42.jpg,Se solicita evidencia adicional.,1,"Av 40 #47-28, MANIZALES",3291486528,luisa.rivera40@gmail.com
43,2025-10-20,ANTIOQUIA,PROCURADURIA,FRAUDE,TELÉFONO,MEDELLIN,055575686,PROPAGANDA,Entrega de publicidad a menos de 100 metros del puesto. Posible manipulación de conteo o daño de votos.,REGISTRADA,OPERADOR 1,6.350057,-75.587334,https://example.com/fotos/43.jpg,Remitido a Personería.,18,"Cl 40 #121-25, MEDELLIN",3292706537,carolina.vargas20@mail.com
44,2025-10-31,ANTIOQUIA,DEFENSORIA,QUEMA,PORTAL,MEDELLIN,059881268,COMPRA DE VOTOS,Entrega de publicidad a menos de 100 metros del puesto. Reporte de intento de quema de material electoral.,REGISTRADA,OPERADOR 2,6.298878,-75.573029,https://example.com/fotos/44.jpg,Se solicita evidencia adicional.,30,"Cra 54 #14-51, MEDELLIN",3412478261,natalia.lopez92@correo.com
45,2025-10-04,CALDAS,PROCURADURIA,FRAUDE,APP,MANIZALES,178671286,IRREGULARIDAD EN MESA,Se reporta material electoral deteriorado o con tachaduras. Posible manipulación de conteo o daño de votos.,REGISTRADA,OPERADOR 1,5.044875,-75.501383,https://example.com/fotos/45.jpg,,2,"Cl 54 #164-80, MANIZALES",3104328986,luisa.castro58@correo.com
46,2025-10-12,BOLÍVAR,CIUDADANO,QUEMA,SEDE ELECTRÓNICA,CARTAGENA,131462460,INTERVENCIÓN EN POLÍTICA,Se observa intercambio de dinero y propaganda dentro del perímetro no permitido. Reporte de intento de quema de material electoral.,EN TRÁMITE,MESA AYUDA,10.350049,-75.449597,https://example.com/fotos/46.jpg,Se solicita evidencia adicional.,5,"Cra 46 #140-44, CARTAGENA",3670654051,daniel.rodriguez68@correo.com
47,2025-10-29,BOGOTA D.C.,PROCURADURIA,PROCEDIMIENTO,PORTAL,BOGOTA,110278333,COACCIÓN,Entrega de publicidad a menos de 100 metros del puesto. Incumplimiento del procedimiento establecido por jurados.,REGISTRADA,OPERADOR 2,4.768938,-74.087748,https://example.com/fotos/47.jpg,Coordinación con Policía Metropolitana.,11,"Cl 64 #178-64, BOGOTA",3345054156,natalia.castro33@correo.com
48,2025-10-26,ANTIOQUIA,PERSONERIA,FRAUDE,REDES,MEDELLIN,055306364,PROPAGANDA,Presunta suplantación de identidad en la mesa de votación. Posible manipulación de conteo o daño de votos.,REGISTRADA,OPERADOR 1,6.345619,-75.581723,https://example.com/fotos/48.jpg,,5,"Diag 87 #113-5, MEDELLIN",3596401658,valentina.rivera58@correo.com
49,2025-10-07,BOGOTA D.C.,PERSONERIA,QUEMA,APP,BOGOTA,114340133,IRREGULARIDAD EN MESA,Entrega de publicidad a menos de 100 metros del puesto. Reporte de intento de quema de material electoral.,EN TRÁMITE,MESA AYUDA,4.494204,-74.05866,https://example.com/fotos/49.jpg,Remitido a Personería.,4,"Cl 110 #19-58, BOGOTA",3278681447,diana.sanchez15@correo.com
50,2025-10-26,BOGOTA D.C.,DEFENSORIA,FRAUDE,REDES,BOGOTA,115887967,DAÑO DE MATERIAL,Se observa intercambio de dinero y propaganda dentro del perímetro no permitido. Posible manipulación de conteo o daño de votos.,EN TRÁMITE,MESA AYUDA,4.793524,-74.162016,https://example.com/fotos/50.jpg,,10,"Tv 92 #185-62, BOGOTA",3237058957,laura.sanchez16@mail.com
51,2025-10-31,CALDAS,PROCURADURIA,PROCEDIMIENTO,WHATSAPP,MANIZALES,174518557,DAÑO DE MATERIAL,Se reporta material electoral deteriorado o con tachaduras. Incumplimiento del procedimiento establecido por jurados.,EN TRÁMITE,OPERADOR 2,5.049295,-75.499057,https://example.com/fotos/51.jpg,,9,"Cl 82 #142-36, MANIZALES",3182422535,luisa.cruz65@correo.com
52,2025-10-08,BOGOTA D.C.,PROCURADURIA,FRAUDE,SEDE ELECTRÓNICA,BOGOTA,117685800,COACCIÓN,Se reporta material electoral deteriorado o con tachaduras. Posible manipulación de conteo o daño de votos.,REGISTRADA,MESA AYUDA,4.695008,-74.109527,https://example.com/fotos/52.jpg,Coordinación con Policía Metropolitana.,3,"Cll 8 #41-57, BOGOTA",3969078447,pablo.ramirez84@mail.com
53,2025-10-07,BOLÍVAR,DEFENSORIA,PROCEDIMIENTO,TELÉFONO,CARTAGENA,139135342,DAÑO DE MATERIAL,Vehículos transportando votantes con logos partidarios. Incumplimiento del procedimiento establecido por jurados.,EN TRÁMITE,OPERADOR 2,10.41748,-75.525517,https://example.com/fotos/53.jpg,Coordinación con Policía Metropolitana.,16,"Av 64 #6-12, CARTAGENA",3469632595,felipe.gomez13@correo.com
54,2025-10-10,BOLÍVAR,DEFENSORIA,FRAUDE,SEDE ELECTRÓNICA,CARTAGENA,135862011,IRREGULARIDAD EN MESA,Vehículos transportando votantes con logos partidarios. Posible manipulación de conteo o daño de votos.,REGISTRADA,OPERADOR 2,10.420871,-75.433998,https://example.com/fotos/54.jpg,Coordinación con Policía Metropolitana.,25,"Diag 36 #160-88, CARTAGENA",3506098358,diana.rivera98@gmail.com
55,2025-10-17,CALDAS,DEFENSORIA,QUEMA,APP,MANIZALES,171550134,INTERVENCIÓN EN POLÍTICA,Entrega de publicidad a menos de 100 metros del puesto. Reporte de intento de quema de material electoral.,CERRADA,OPERADOR 1,5.014257,-75.442492,https://example.com/fotos/55.jpg,Se solicita evidencia adicional.,16,"Cra 48 #85-87, MANIZALES",3595269495,valentina.gomez78@mail.com
56,2025-10-14,VALLE DEL CAUCA,CIUDADANO,PROCEDIMIENTO,REDES,CALI,767757516,TRANSPORTE IRREGULAR,Conato de riña entre simpatizantes en las inmediaciones del puesto. Incumplimiento del procedimiento establecido por jurados.,REGISTRADA,MESA AYUDA,3.515578,-76.518282,https://example.com/fotos/56.jpg,Coordinación con Policía Metropolitana.,28,"Cll 94 #16-91, CALI",3091307562,carolina.vargas19@mail.com
57,2025-10-16,BOGOTA D.C.,PERSONERIA,PROCEDIMIENTO,PORTAL,BOGOTA,119337766,DAÑO DE MATERIAL,Se reporta material electoral deteriorado o con tachaduras. Incumplimiento del procedimiento establecido por jurados.,CERRADA,OPERADOR 2,4.656726,-74.126125,https://example.com/fotos/57.jpg,Se solicita evidencia adicional.,4,"Diag 87 #140-49, BOGOTA",3484344375,carolina.castro25@mail.com
58,2025-10-23,BOLÍVAR,CIUDADANO,FRAUDE,APP,CARTAGENA,133424259,LOGÍSTICA,Presunta suplantación de identidad en la mesa de votación. Posible manipulación de conteo o daño de votos.,CERRADA,OPERADOR 1,10.47094,-75.435447,https://example.com/fotos/58.jpg,,18,"Cl 53 #168-61, CARTAGENA",3308330165,diana.gomez14@mail.com
59,2025-10-10,BOLÍVAR,DEFENSORIA,QUEMA,APP,CARTAGENA,136278094,IRREGULARIDAD EN MESA,Vehículos transportando votantes con logos partidarios. Reporte de intento de quema de material electoral.,CERRADA,OPERADOR 1,10.444086,-75.459291,https://example.com/fotos/59.jpg,Coordinación con Policía Metropolitana.,29,"Cl 109 #130-60, CARTAGENA",3240049915,andres.martinez51@gmail.com
60,2025-10-13,ANTIOQUIA,PERSONERIA,FRAUDE,REDES,MEDELLIN,057757188,LOGÍSTICA,Se reporta material electoral deteriorado o con tachaduras. Posible manipulación de conteo o daño de votos.,EN TRÁMITE,OPERADOR 1,6.206634,-75.65085,https://example.com/fotos/60.jpg,Se solicita evidencia adicional.,10,"Diag 93 #147-2, MEDELLIN",3612275304,miguel.mora42@correo.com
61,2025-10-25,ANTIOQUIA,CIUDADANO,FRAUDE,REDES,MEDELLIN,056987669,TRANSPORTE IRREGULAR,Ingresan votos ya marcados en sobres irregulares. Posible manipulación de conteo o daño de votos.,REGISTRADA,OPERADOR 2,6.2942,-75.552229,https://example.com/fotos/61.jpg,Remitido a Personería.,22,"Diag 112 #21-68, MEDELLIN",3272795687,daniel.mejia29@mail.com
62,2025-10-22,BOLÍVAR,CIUDADANO,PROCEDIMIENTO,WHATSAPP,CARTAGENA,135135125,INTERVENCIÓN EN POLÍTICA,Larga fila y demoras inusuales en la mesa. Incumplimiento del procedimiento establecido por jurados.,CERRADA,OPERADOR 1,10.424508,-75.506586,https://example.com/fotos/62.jpg,Coordinación con Policía Metropolitana.,9,"Cra 96 #56-75, CARTAGENA",3728679087,maria.mora58@correo.com
63,2025-10-05,VALLE DEL CAUCA,CIUDADANO,FRAUDE,SEDE ELECTRÓNICA,CALI,760477964,PROPAGANDA,Larga fila y demoras inusuales en la mesa. Posible manipulación de conteo o daño de votos.,CERRADA,OPERADOR 2,3.309964,-76.551766,https://example.com/fotos/63.jpg,,10,"Tv 87 #185-70, CALI",3182512868,paula.rios49@gmail.com
64,2025-10-07,BOLÍVAR,DEFENSORIA,FRAUDE,PORTAL,CARTAGENA,137066982,COACCIÓN,Vehículos transportando votantes con logos partidarios. Posible manipulación de conteo o daño de votos.,REGISTRADA,MESA AYUDA,10.425109,-75.451197,https://example.com/fotos/64.jpg,Se solicita evidencia adicional.,8,"Cll 74 #82-74, CARTAGENA",3790306738,maria.lopez77@correo.com
65,2025-10-16,CALDAS,PROCURADURIA,FRAUDE,APP,MANIZALES,172557165,INTERVENCIÓN EN POLÍTICA,Ingresan votos ya marcados en sobres irregulares. Posible manipulación de conteo o daño de votos.,REGISTRADA,OPERADOR 2,5.092705,-75.458162,https://example.com/fotos/65.jpg,Se solicita evidencia adicional.,28,"Cll 19 #119-8, MANIZALES",3856624628,carlos.rivera83@gmail.com
66,2025-10-07,CALDAS,PERSONERIA,PROCEDIMIENTO,TELÉFONO,MANIZALES,176980712,VIOLENCIA,Se observa intercambio de dinero y propaganda dentro del perímetro no permitido. Incumplimiento del procedimiento establecido por jurados.,REGISTRADA,OPERADOR 2,5.049521,-75.498349,https://example.com/fotos/66.jpg,Coordinación con Policía Metropolitana.,30,"Cl 90 #155-91, MANIZALES",3398373540,carolina.mejia6@correo.com
67,2025-10-19,BOGOTA D.C.,PERSONERIA,QUEMA,APP,BOGOTA,113384877,TRANSPORTE IRREGULAR,Se reporta material electoral deteriorado o con tachaduras. Reporte de intento de quema de material electoral.,REGISTRADA,OPERADOR 2,4.612788,-74.225807,https://example.com/fotos/67.jpg,Remitido a Personería.,7,"Av 30 #98-73, BOGOTA",3609320489,sofia.perez48@ejemplo.co
